0,363,588,336106,629.522,-495.491,-1056.54
1,307,519,206278,422.998,-519.599,-689.914
2,335,554,281163,675.241,-675.555,-873.227
3,386,615,405526,664.439,-771.862,-1239.86
4,416,651,430377,882.944,-941.977,-1423.17
5,386,614,313909,513.438,-599.759,-1239.86
6,335,554,217739,525.128,-525.945,-873.231
7,260,464,94197,256.271,-238.425,-323.284
8,307,519,176810,362.627,-446.905,-689.91
9,416,651,368977,758.425,-809.964,-1423.17
10,472,719,409381,542.541,-560.006,-1789.8
11,416,651,221300,458.232,-492.041,-1423.18
12,307,519,105974,217.662,-271.568,-689.918
13,285,491,146306,275.174,-229.136,-506.597
14,363,588,288129,539.461,-423.199,-1056.54
15,447,690,440982,808.882,-651.773,-1606.49
16,447,690,341481,628.413,-504.174,-1606.49
17,363,588,172732,323.107,-249.967,-1056.55
18,285,491,113278,212.068,-175.071,-506.601
19,211,402,33089,65.5232,-67.6898,43.346
20,285,491,83234,154.998,-126.809,-506.593
21,447,690,250963,463.389,-369.934,-1606.48
22,536,800,300469,517.816,-438.338,-2156.43
23,447,690,116520,217.352,-171.052,-1606.49
24,285,491,38619,70.8705,-56.0832,-506.605
25,234,432,59625,152.929,-188.742,-139.967
26,335,554,160044,387.75,-388.629,-873.223
27,472,719,350884,463.918,-479.468,-1789.8
28,503,757,290960,491.009,-557.038,-1973.12
29,386,614,106977,173.565,-208.238,-1239.86
30,261,464,48079,133.428,-123.673,-323.288
31,234,431,46165,118.71,-147.42,-139.971
32,260,464,80758,220.224,-204.695,-323.28
33,386,614,230628,376.523,-442.683,-1239.85
34,503,757,375711,632.5,-714.426,-1973.12
35,472,718,210216,275.234,-286.454,-1789.81
36,335,554,74335,182.66,-183.735,-873.235
37,166,351,8817,28.3157,-33.9162,409.976
38,261,464,30276,84.9092,-78.5356,-323.277
39,472,718,132346,171.944,-180.04,-1789.8
40,597,873,168755,224.319,-265.643,-2523.06
41,472,718,47477,60.17,-64.3819,-1789.81
42,261,465,10850,31.2806,-28.8726,-323.291
43,191,381,17779,53.3198,-45.2401,226.663
44,307,519,66733,137.27,-172.897,-689.907
45,503,757,213849,362.031,-412.511,-1973.11
46,567,834,181464,204.943,-170.516,-2339.75
47,416,651,50156,106.476,-116.155,-1423.18
48,234,431,15713,41.0926,-52.2714,-139.975
